document_id,serial_no,state,sanction_date,document_name,document_type,source_dataset,source_url,sc_amount_lakh,st_amount_lakh,oth_amount_lakh,total_amount_lakh
DOC102,102,ANDHRA PRADESH,25/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-66),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-66).pdf,0,131.05943,219.14215,350.20158
DOC103,103,ANDHRA PRADESH,25/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-65),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-65).pdf,0,181.1216,0,181.1216
DOC104,104,ANDHRA PRADESH,25/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-64),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-64).pdf,34.21378,0,307.47916,341.69294
DOC105,105,ANDHRA PRADESH,25/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-63),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-63).pdf,0,0,371.39561,371.39561
DOC106,106,ANDHRA PRADESH,25/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-62),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-62).pdf,4.81745,85.90877,204.85957,295.58579
DOC107,107,ANDHRA PRADESH,24/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-61),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-61).pdf,15.90358,0,0,15.90358
DOC108,108,ANDHRA PRADESH,24/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-60),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-60).pdf,311.9725,9.27131,0,321.24381
DOC109,109,ANDHRA PRADESH,24/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-59),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-59).pdf,0,0,487.59289,487.59289
DOC110,110,ANDHRA PRADESH,19/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-58),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-58).pdf,0,0,314.4587,314.4587
DOC111,111,ANDHRA PRADESH,19/08/2026,L-15060/06/2026-RE-VII/Sl.No.1(SPARSH-57),WAGE_DAILY_SANCTION,NEFMS_WAGE_DAILY,https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo1(SPARSH-57).pdf,0,0,316.86394,316.86394
