"document_id","serial_no","state","sanction_date","document_name","document_type","document_url","file_path","sha256_hash","amount_lakh","verification_status","is_tampered"
"DOC001","1","ANDHRA PRADESH","24/08/2026","L-15060/06/2026-RE-VII/Sl.No.01(Admin-07)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo01(Admin-07).pdf","documents\DOC001.pdf","49c1f05f9245b95b4b95428d423d7c69455cb726de9b934b39928c36feb5a3d0","11.76437","PENDING","False"
"DOC002","2","ANDHRA PRADESH","24/08/2026","L-15060/06/2026-RE-VII/Sl.No.01(Admin-06)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo01(Admin-06).pdf","documents\DOC002.pdf","05b61bcfcacc991f46e1fccc599a197163c9283927e20715699ebdffe1370807","3.58","PENDING","False"
"DOC003","3","ANDHRA PRADESH","20/08/2026","L-15060/06/2026-RE-VII/Sl.No.01(Admin-05)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo01(Admin-05).pdf","documents\DOC003.pdf","547e5fc3e6c86e3d00e79e4553ec383683cdceb130421b696f4f28aaaa35b8b4","0.52287","PENDING","False"
"DOC004","4","ANDHRA PRADESH","19/08/2026","L-15060/06/2026-RE-VII/Sl.No.01(Admin-04)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo01(Admin-04).pdf","documents\DOC004.pdf","6cb36cd65a97fb562b47cce936e67d8d00ef56dae9c16bbc3e3af8211a52227a","391.94111","PENDING","False"
"DOC005","5","ANDHRA PRADESH","18/08/2026","L-15060/06/2026-RE-VII/Sl.No.01(Admin-03)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo01(Admin-03).pdf","documents\DOC005.pdf","df4720de3e5caec5f0302649d00388dd05c44b6c03b43e3ae5d188d52dd1103d","104.95468","PENDING","False"
"DOC006","6","ANDHRA PRADESH","10/08/2026","L-15060/06/2026-RE-VII/Sl.No.01(Admin-02)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo01(Admin-02).pdf","documents\DOC006.pdf","41d4c08f90c8d88e56ab9a6934f89d09e1ea680a901b9b615e9bf7c450c2b926","0.69244","PENDING","False"
"DOC007","7","ANDHRA PRADESH","06/08/2026","L-15060/06/2026-RE-VII/Sl.No.01(01)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/L-15060$06$2026-RE-VII$SlNo01(01).pdf","documents\DOC007.pdf","bef840e1eb7370c6f69b0b0b2846f7c5253175cd222dd62f0b61fd33c883a0db","1610.53181","PENDING","False"
"DOC008","8","ARUNACHAL PRADESH","20/08/2026","G-31011/20/2026-RE-V (396999)-RE-V Sl No-2 (Admin-2)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/G-31011$20$2026-RE-V(396999)-RE-VSlNo-2(Admin-2).pdf","documents\DOC008.pdf","ed9bcb80b6607c0fc0de74642342777f033fb455f97d0cdd06387e06dbefdb03","4.842","PENDING","False"
"DOC009","9","ARUNACHAL PRADESH","18/08/2026","G-31011/20/2026-RE-V (396999)-RE-V Sl No-2 (Admin-1)","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/G-31011$20$2026-RE-V(396999)-RE-VSlNo-2(Admin-1).pdf","documents\DOC009.pdf","a22930e40dadb902f97b1fe58efed89a80e5beb605abbb7a1e2c68d28e84d1fe","1.36516","PENDING","False"
"DOC010","10","ASSAM","08/07/2026","628/Finance/2026 27 (Assam Admin)-235843","SANCTION_ORDER","https://mnregaweb4.nic.in/RMS/WriteReadData/SancAttachments/VBGRAMG/628$Finance$202627(AssamAdmin)-235843.pdf","documents\DOC010.pdf","daad5c1a8683d569eb0ae3dc81cca6f3e5d3a54e13d47a88bb77a589a2f19845","2.96916","PENDING","False"
