tender_id,project_name,vendor_name,bid_amount,estimated_amount,status,submission_date
T001,"Cattle Shed and Veterinary Centre - Pune","Meenakshi Developers",1770000,2002000,AWARDED,2024-01-13T00:00:00Z
T001,"Cattle Shed and Veterinary Centre - Pune","Ram Construction Co",2099000,2002000,ACTIVE,2024-01-16T00:00:00Z
T001,"Cattle Shed and Veterinary Centre - Pune","Simplex Infra Pvt Ltd",1916000,2002000,ACTIVE,2024-01-16T00:00:00Z
T002,"Panchayat Community Hall - Pune","Ganga Engineering Ltd",4884000,5439000,AWARDED,2024-03-02T00:00:00Z
T002,"Panchayat Community Hall - Pune","PQR Construction Co",5618000,5439000,ACTIVE,2024-03-03T00:00:00Z
T002,"Panchayat Community Hall - Pune","Ambika Contractors",5153000,5439000,ACTIVE,2024-03-06T00:00:00Z
T003,"Community Pond Renovation - Pune","Tamil Group",4113000,4742000,AWARDED,2024-07-27T00:00:00Z
T003,"Community Pond Renovation - Pune","Bengal Engineering Ltd",5164000,4742000,SUBMITTED,2024-07-28T00:00:00Z
T004,"Soil Conservation Works - Nashik","Shiva Solutions",4996000,5552000,AWARDED,2024-05-31T00:00:00Z
T004,"Soil Conservation Works - Nashik","Premier Constructions Pvt Ltd",5333000,5552000,SUBMITTED,2024-06-01T00:00:00Z
T005,"Fair Price Shop Construction - Nashik","Shapoorji Engineering",1134000,1212000,AWARDED,2024-08-07T00:00:00Z
T005,"Fair Price Shop Construction - Nashik","Andhra Infrastructure",1119000,1212000,SUBMITTED,2024-08-11T00:00:00Z
T006,"Community Pond Renovation - Nashik","Marwar Works",2975000,3494000,AWARDED,2024-08-20T00:00:00Z
T006,"Community Pond Renovation - Nashik","Ram Constructions Pvt Ltd",3570000,3494000,SUBMITTED,2024-08-24T00:00:00Z
T006,"Community Pond Renovation - Nashik","Durga Enterprises",3586000,3494000,SUBMITTED,2024-08-21T00:00:00Z
T007,"Cold Storage Facility - Nashik","Meenakshi Constructions Pvt Ltd",6508000,7108000,AWARDED,2024-10-16T00:00:00Z
T007,"Cold Storage Facility - Nashik","AFCONS Constructions Pvt Ltd",7268000,7108000,ACTIVE,2024-10-18T00:00:00Z
T008,"Drainage and Sanitation Works - Aurangabad","Pioneer Construction Co",2146000,2320000,AWARDED,2024-02-10T00:00:00Z
T008,"Drainage and Sanitation Works - Aurangabad","Lakshmi Associates",2510000,2320000,ACTIVE,2024-02-12T00:00:00Z
T008,"Drainage and Sanitation Works - Aurangabad","Green Engineering Ltd",2323000,2320000,ACTIVE,2024-02-13T00:00:00Z
T009,"Borewell and Handpump Installation - Aurangabad","Krishna Infrastructure",1579000,1813000,AWARDED,2024-04-08T00:00:00Z
T009,"Borewell and Handpump Installation - Aurangabad","Megha Developers",2044000,1813000,SUBMITTED,2024-04-10T00:00:00Z
T009,"Borewell and Handpump Installation - Aurangabad","Ambika Engineering",1947000,1813000,ACTIVE,2024-04-11T00:00:00Z
T010,"Cattle Shed and Veterinary Centre - Aurangabad","Pioneer Developers",2932000,3154000,AWARDED,2024-08-19T00:00:00Z
T010,"Cattle Shed and Veterinary Centre - Aurangabad","Ganga Infra Ltd",3037000,3154000,SUBMITTED,2024-08-22T00:00:00Z
T010,"Cattle Shed and Veterinary Centre - Aurangabad","Ganga Builders",3304000,3154000,SUBMITTED,2024-08-20T00:00:00Z
T011,"Solid Waste Management System - Aurangabad","Durga Developers",3245000,3447000,AWARDED,2024-03-21T00:00:00Z
T011,"Solid Waste Management System - Aurangabad","Ambika Solutions",3715000,3447000,SUBMITTED,2024-03-25T00:00:00Z
T011,"Solid Waste Management System - Aurangabad","Om Engineering Ltd",3167000,3447000,ACTIVE,2024-03-25T00:00:00Z
T012,"Solid Waste Management System - Nagpur","AFCONS Engineering",9930000,11674000,AWARDED,2024-08-11T00:00:00Z
T012,"Solid Waste Management System - Nagpur","Andhra Construction Co",11662000,11674000,SUBMITTED,2024-08-15T00:00:00Z
T013,"Government Primary School Renovation - Nagpur","Green Enterprises",2611000,2958000,AWARDED,2024-06-04T00:00:00Z
T013,"Government Primary School Renovation - Nagpur","National Infrastructure",3333000,2958000,SUBMITTED,2024-06-07T00:00:00Z
T014,"Rural Bridge Construction - Nagpur","Durga Projects",31255000,36443000,AWARDED,2024-04-19T00:00:00Z
T014,"Rural Bridge Construction - Nagpur","Ganga Enterprises",35689000,36443000,ACTIVE,2024-04-23T00:00:00Z
T015,"Government Primary School Renovation - Solapur","Jai Services",8274000,8991000,AWARDED,2024-04-22T00:00:00Z
T015,"Government Primary School Renovation - Solapur","Sai Projects",9355000,8991000,SUBMITTED,2024-04-26T00:00:00Z
T016,"Water Supply Pipeline Installation - Solapur","Sunrise Works",13323000,15145000,AWARDED,2024-06-04T00:00:00Z
T016,"Water Supply Pipeline Installation - Solapur","Rajasthan Solutions",14977000,15145000,SUBMITTED,2024-06-05T00:00:00Z
T017,"Rainwater Harvesting Structure - Solapur","Premier Infrastructure",3222000,3619000,AWARDED,2024-08-07T00:00:00Z
T017,"Rainwater Harvesting Structure - Solapur","J Kumar Constructions",3736000,3619000,SUBMITTED,2024-08-09T00:00:00Z
T017,"Rainwater Harvesting Structure - Solapur","Ganga Corporation",3244000,3619000,SUBMITTED,2024-08-11T00:00:00Z
T018,"Rural Bridge Construction - Solapur","Elite Infrastructure",9847000,11099000,AWARDED,2024-05-05T00:00:00Z
T018,"Rural Bridge Construction - Solapur","Sunrise Developers",12206000,11099000,SUBMITTED,2024-05-09T00:00:00Z
T018,"Rural Bridge Construction - Solapur","Premier Engineering",10149000,11099000,SUBMITTED,2024-05-07T00:00:00Z
T019,"Solid Waste Management System - Kolhapur","Apex Constructions Pvt Ltd",8468000,9343000,AWARDED,2024-08-21T00:00:00Z
T019,"Solid Waste Management System - Kolhapur","Ganga Civil Works",8466000,9343000,SUBMITTED,2024-08-24T00:00:00Z
T020,"Rural Road Construction - Kolhapur","ABC Contractors",19751000,20876000,AWARDED,2024-06-22T00:00:00Z
T020,"Rural Road Construction - Kolhapur","Om Infrastructure",23280000,20876000,SUBMITTED,2024-06-25T00:00:00Z
T021,"Cattle Shed and Veterinary Centre - Kolhapur","Shapoorji Construction Co",2065000,2192000,AWARDED,2024-05-16T00:00:00Z
T021,"Cattle Shed and Veterinary Centre - Kolhapur","Marwar Developers",2212000,2192000,SUBMITTED,2024-05-18T00:00:00Z
T022,"Tribal Welfare Hostel Construction - Kolhapur","Tamil Contractors",16874000,18979000,AWARDED,2024-04-11T00:00:00Z
T022,"Tribal Welfare Hostel Construction - Kolhapur","Marwar Civil Works",19719000,18979000,SUBMITTED,2024-04-12T00:00:00Z
T023,"PMGSY Road Upgradation - Satara","Pratap Civil Works",26800000,30817000,AWARDED,2024-04-09T00:00:00Z
T023,"PMGSY Road Upgradation - Satara","Bengal Engineering",34208000,30817000,ACTIVE,2024-04-13T00:00:00Z
T023,"PMGSY Road Upgradation - Satara","Simplex Projects",33891000,30817000,SUBMITTED,2024-04-11T00:00:00Z
T024,"Community Pond Renovation - Satara","Royal Solutions",2288000,2640000,AWARDED,2024-06-15T00:00:00Z
T024,"Community Pond Renovation - Satara","Tata Services",2788000,2640000,ACTIVE,2024-06-18T00:00:00Z
T024,"Community Pond Renovation - Satara","Apex Infra Ltd",2391000,2640000,ACTIVE,2024-06-17T00:00:00Z
T025,"Solid Waste Management System - Satara","Ambika Engineering Ltd",7592000,8549000,AWARDED,2024-02-03T00:00:00Z
T025,"Solid Waste Management System - Satara","Krishna Associates",7926000,8549000,SUBMITTED,2024-02-05T00:00:00Z
T026,"Gram Panchayat Office Renovation - Sangli","AFCONS Solutions",1750000,2058000,AWARDED,2024-05-16T00:00:00Z
T026,"Gram Panchayat Office Renovation - Sangli","Gujarat Engineering",2311000,2058000,ACTIVE,2024-05-17T00:00:00Z
T026,"Gram Panchayat Office Renovation - Sangli","IRB Infra Pvt Ltd",2195000,2058000,SUBMITTED,2024-05-17T00:00:00Z
T027,"PMGSY Road Upgradation - Sangli","Ram Construction Co",16869000,18766000,AWARDED,2024-03-20T00:00:00Z
T027,"PMGSY Road Upgradation - Sangli","Birla Contractors",18609000,18766000,ACTIVE,2024-03-24T00:00:00Z
T028,"Cattle Shed and Veterinary Centre - Sangli","Elite Engineering Ltd",3552000,4071000,AWARDED,2024-08-09T00:00:00Z
T028,"Cattle Shed and Veterinary Centre - Sangli","Era Associates",4548000,4071000,SUBMITTED,2024-08-12T00:00:00Z
T028,"Cattle Shed and Veterinary Centre - Sangli","Saraswati Group",4418000,4071000,SUBMITTED,2024-08-10T00:00:00Z
T029,"Drainage and Sanitation Works - Ratnagiri","Birla Associates",3843000,4495000,AWARDED,2024-04-17T00:00:00Z
T029,"Drainage and Sanitation Works - Ratnagiri","IRB Solutions",4716000,4495000,ACTIVE,2024-04-18T00:00:00Z
T030,"Drainage and Sanitation Works - Ratnagiri","Megha Enterprises",8494000,9659000,AWARDED,2024-02-08T00:00:00Z
T030,"Drainage and Sanitation Works - Ratnagiri","Krishna Infrastructure",9072000,9659000,SUBMITTED,2024-02-09T00:00:00Z
T031,"Rural Bridge Construction - Ratnagiri","Green Engineering",12208000,13658000,AWARDED,2024-08-13T00:00:00Z
